Linea 2 Columnas: 0-26     	 Hola_esto_no_es_comentario          	 es IDENTIFICADOR

Linea 3 Columnas: 0-1     	 *          	 es OPERADOR

Linea 3 Columnas: 1-2     	 /          	 es OPERADOR

Linea 5 Columnas: 0-1     	 .          	 es OPERADOR

Linea 5 Columnas: 1-3     	 12          	 es ENTERO (value = 12)

Linea 7 Columnas: 1-2     	 .          	 es OPERADOR

Linea 7 Columnas: 2-4     	 12          	 es ENTERO (value = 12)

Linea 7 Columnas: 4-5     	 E          	 es IDENTIFICADOR

Linea 7 Columnas: 5-6     	 +          	 es OPERADOR

Linea 7 Columnas: 6-7     	 2          	 es ENTERO (value = 2)

Linea 9 Columnas: 0-6     	 select          	 es IDENTIFICADOR

Linea 10 Columnas: 0-6     	 Select          	 es IDENTIFICADOR

Linea 11 Columnas: 0-6     	 SELECT          	 es PALABRA_RESERVADA

