Linea 28 Columnas: 0-5     	 ALTER          	 es PALABRA_RESERVADA

Linea 28 Columnas: 6-15     	 PROCEDURE          	 es PALABRA_RESERVADA

Linea 28 Columnas: 16-19     	 dbo          	 es IDENTIFICADOR

Linea 28 Columnas: 19-20     	 .          	 es OPERADOR


*** ERROR LINE 28. *** Truncated idntifier: 	USP_DAEF_GET_SOLICITUDES_POR_ES


Linea 29 Columnas: 0-1     	 (          	 es OPERADOR

Linea 30 Columnas: 2-3     	 @          	 es OPERADOR

Linea 30 Columnas: 3-16     	 AI_NO_ESTATUS          	 es IDENTIFICADOR

Linea 30 Columnas: 19-21     	 AS          	 es PALABRA_RESERVADA

Linea 30 Columnas: 22-25     	 INT          	 es PALABRA_RESERVADA

Linea 30 Columnas: 25-26     	 ,          	 es OPERADOR

Linea 31 Columnas: 2-3     	 @          	 es OPERADOR

Linea 31 Columnas: 3-17     	 AI_NoProveedor          	 es IDENTIFICADOR

Linea 31 Columnas: 19-21     	 AS          	 es PALABRA_RESERVADA

Linea 31 Columnas: 22-25     	 INT          	 es PALABRA_RESERVADA

Linea 31 Columnas: 25-26     	 ,          	 es OPERADOR

Linea 32 Columnas: 2-3     	 @          	 es OPERADOR

Linea 32 Columnas: 3-18     	 AI_NO_SOLICITUD          	 es IDENTIFICADOR

Linea 32 Columnas: 19-21     	 AS          	 es PALABRA_RESERVADA

Linea 32 Columnas: 22-25     	 INT          	 es PALABRA_RESERVADA

Linea 32 Columnas: 25-26     	 ,          	 es OPERADOR

Linea 33 Columnas: 2-3     	 @          	 es OPERADOR

Linea 33 Columnas: 3-7     	 anio          	 es IDENTIFICADOR

Linea 33 Columnas: 19-21     	 AS          	 es PALABRA_RESERVADA

Linea 33 Columnas: 22-25     	 INT          	 es PALABRA_RESERVADA

Linea 34 Columnas: 0-1     	 )          	 es OPERADOR

Linea 35 Columnas: 0-2     	 AS          	 es PALABRA_RESERVADA

Linea 36 Columnas: 2-7     	 BEGIN          	 es PALABRA_RESERVADA

Linea 37 Columnas: 4-11     	 DECLARE          	 es PALABRA_RESERVADA

Linea 37 Columnas: 12-13     	 @          	 es OPERADOR

Linea 37 Columnas: 13-28     	 L_AI_NO_ESTATUS          	 es IDENTIFICADOR

Linea 37 Columnas: 31-33     	 AS          	 es PALABRA_RESERVADA

Linea 37 Columnas: 34-37     	 INT          	 es PALABRA_RESERVADA

Linea 37 Columnas: 37-38     	 ,          	 es OPERADOR

Linea 38 Columnas: 12-13     	 @          	 es OPERADOR

Linea 38 Columnas: 13-29     	 l_AI_NoProveedor          	 es IDENTIFICADOR

Linea 38 Columnas: 31-33     	 AS          	 es PALABRA_RESERVADA

Linea 38 Columnas: 34-37     	 INT          	 es PALABRA_RESERVADA

Linea 38 Columnas: 37-38     	 ,          	 es OPERADOR

Linea 39 Columnas: 12-13     	 @          	 es OPERADOR

Linea 39 Columnas: 13-30     	 L_AI_NO_SOLICITUD          	 es IDENTIFICADOR

Linea 39 Columnas: 31-33     	 AS          	 es PALABRA_RESERVADA

Linea 39 Columnas: 34-37     	 INT          	 es PALABRA_RESERVADA

Linea 39 Columnas: 37-38     	 ,          	 es OPERADOR

Linea 40 Columnas: 12-13     	 @          	 es OPERADOR

Linea 40 Columnas: 13-19     	 L_anio          	 es IDENTIFICADOR

Linea 40 Columnas: 31-33     	 AS          	 es PALABRA_RESERVADA

Linea 40 Columnas: 34-37     	 INT          	 es PALABRA_RESERVADA

Linea 40 Columnas: 37-38     	 ;          	 es OPERADOR

Linea 42 Columnas: 4-10     	 SELECT          	 es PALABRA_RESERVADA

Linea 42 Columnas: 11-12     	 @          	 es OPERADOR

Linea 42 Columnas: 12-27     	 L_AI_NO_ESTATUS          	 es IDENTIFICADOR

Linea 42 Columnas: 28-29     	 =          	 es OPERADOR

Linea 42 Columnas: 30-31     	 @          	 es OPERADOR

Linea 42 Columnas: 31-44     	 AI_NO_ESTATUS          	 es IDENTIFICADOR

Linea 42 Columnas: 44-45     	 ,          	 es OPERADOR

Linea 43 Columnas: 11-12     	 @          	 es OPERADOR

Linea 43 Columnas: 12-28     	 l_AI_NoProveedor          	 es IDENTIFICADOR

Linea 43 Columnas: 29-30     	 =          	 es OPERADOR

Linea 43 Columnas: 31-32     	 @          	 es OPERADOR

Linea 43 Columnas: 32-46     	 AI_NoProveedor          	 es IDENTIFICADOR

Linea 43 Columnas: 46-47     	 ,          	 es OPERADOR

Linea 44 Columnas: 11-12     	 @          	 es OPERADOR

Linea 44 Columnas: 12-29     	 L_AI_NO_SOLICITUD          	 es IDENTIFICADOR

Linea 44 Columnas: 30-31     	 =          	 es OPERADOR

Linea 44 Columnas: 32-33     	 @          	 es OPERADOR

Linea 44 Columnas: 33-48     	 AI_NO_SOLICITUD          	 es IDENTIFICADOR

Linea 44 Columnas: 48-49     	 ,          	 es OPERADOR

Linea 45 Columnas: 11-12     	 @          	 es OPERADOR

Linea 45 Columnas: 12-18     	 L_anio          	 es IDENTIFICADOR

Linea 45 Columnas: 19-20     	 =          	 es OPERADOR

Linea 45 Columnas: 21-22     	 @          	 es OPERADOR

Linea 45 Columnas: 22-26     	 anio          	 es IDENTIFICADOR

Linea 45 Columnas: 26-27     	 ;          	 es OPERADOR

Linea 47 Columnas: 4-10     	 SELECT          	 es PALABRA_RESERVADA

Linea 47 Columnas: 11-19     	 DISTINCT          	 es PALABRA_RESERVADA

Linea 48 Columnas: 11-12     	 s          	 es IDENTIFICADOR

Linea 48 Columnas: 12-13     	 .          	 es OPERADOR

Linea 48 Columnas: 13-25     	 NO_SOLICITUD          	 es IDENTIFICADOR

Linea 48 Columnas: 25-26     	 ,          	 es OPERADOR

Linea 49 Columnas: 11-12     	 s          	 es IDENTIFICADOR

Linea 49 Columnas: 12-13     	 .          	 es OPERADOR

Linea 49 Columnas: 13-22     	 NO_BOLETA          	 es IDENTIFICADOR

Linea 49 Columnas: 22-23     	 ,          	 es OPERADOR

Linea 50 Columnas: 11-12     	 s          	 es IDENTIFICADOR

Linea 50 Columnas: 12-13     	 .          	 es OPERADOR

Linea 50 Columnas: 13-22     	 NO_CARNET          	 es IDENTIFICADOR

Linea 50 Columnas: 22-23     	 ,          	 es OPERADOR

Linea 51 Columnas: 11-12     	 t          	 es IDENTIFICADOR

Linea 51 Columnas: 12-13     	 .          	 es OPERADOR

Linea 51 Columnas: 13-24     	 Descripcion          	 es IDENTIFICADOR

Linea 51 Columnas: 25-27     	 AS          	 es PALABRA_RESERVADA

Linea 51 Columnas: 28-33     	 AYUDA          	 es IDENTIFICADOR

Linea 51 Columnas: 33-34     	 ,          	 es OPERADOR

Linea 52 Columnas: 11-12     	 e          	 es IDENTIFICADOR

Linea 52 Columnas: 12-13     	 .          	 es OPERADOR

Linea 52 Columnas: 13-19     	 NOMBRE          	 es IDENTIFICADOR

Linea 52 Columnas: 20-22     	 AS          	 es PALABRA_RESERVADA

Linea 52 Columnas: 23-30     	 ESTATUS          	 es IDENTIFICADOR

Linea 52 Columnas: 30-31     	 ,          	 es OPERADOR

Linea 53 Columnas: 11-12     	 e          	 es IDENTIFICADOR

Linea 53 Columnas: 12-13     	 .          	 es OPERADOR

Linea 53 Columnas: 13-20     	 ESTATUS          	 es IDENTIFICADOR

Linea 53 Columnas: 21-23     	 AS          	 es PALABRA_RESERVADA

Linea 53 Columnas: 24-34     	 NO_ESTATUS          	 es IDENTIFICADOR

Linea 53 Columnas: 34-35     	 ,          	 es OPERADOR

Linea 54 Columnas: 11-12     	 (          	 es OPERADOR

Linea 54 Columnas: 13-19     	 SELECT          	 es PALABRA_RESERVADA

Linea 54 Columnas: 20-23     	 TOP          	 es PALABRA_RESERVADA

Linea 54 Columnas: 24-25     	 1          	 es BOOLEANO (value = 1)

Linea 55 Columnas: 20-24     	 CASE          	 es PALABRA_RESERVADA

Linea 55 Columnas: 25-27     	 ES          	 es IDENTIFICADOR

Linea 55 Columnas: 27-28     	 .          	 es OPERADOR

Linea 55 Columnas: 28-35     	 VISIBLE          	 es IDENTIFICADOR

Linea 56 Columnas: 22-26     	 WHEN          	 es PALABRA_RESERVADA

Linea 56 Columnas: 27-28     	 1          	 es BOOLEANO (value = 1)

Linea 56 Columnas: 29-33     	 THEN          	 es PALABRA_RESERVADA

Linea 56 Columnas: 34-36     	 ES          	 es IDENTIFICADOR

Linea 56 Columnas: 36-37     	 .          	 es OPERADOR

Linea 56 Columnas: 37-47     	 COMENTARIO          	 es IDENTIFICADOR

Linea 57 Columnas: 22-26     	 ELSE          	 es PALABRA_RESERVADA

Linea 57 Columnas: 27-29     	 ''          	 es CADENA (value = '')

Linea 58 Columnas: 20-23     	 END          	 es PALABRA_RESERVADA

Linea 59 Columnas: 13-17     	 FROM          	 es PALABRA_RESERVADA

Linea 59 Columnas: 18-23     	 Becas          	 es IDENTIFICADOR

Linea 59 Columnas: 23-24     	 .          	 es OPERADOR

Linea 59 Columnas: 24-27     	 dbo          	 es IDENTIFICADOR

Linea 59 Columnas: 27-28     	 .          	 es OPERADOR

Linea 59 Columnas: 28-58     	 SB_HISTORIAL_ESTATUS_SOLICITUD          	 es IDENTIFICADOR

Linea 59 Columnas: 59-61     	 AS          	 es PALABRA_RESERVADA

Linea 59 Columnas: 62-64     	 ES          	 es IDENTIFICADOR

Linea 59 Columnas: 65-69     	 WITH          	 es PALABRA_RESERVADA

Linea 59 Columnas: 70-71     	 (          	 es OPERADOR

Linea 59 Columnas: 71-77     	 NOLOCK          	 es IDENTIFICADOR

Linea 59 Columnas: 77-78     	 )          	 es OPERADOR

Linea 60 Columnas: 13-18     	 WHERE          	 es PALABRA_RESERVADA

Linea 60 Columnas: 19-21     	 ES          	 es IDENTIFICADOR

Linea 60 Columnas: 21-22     	 .          	 es OPERADOR

Linea 60 Columnas: 22-35     	 ESTATUS_NUEVO          	 es IDENTIFICADOR

Linea 60 Columnas: 36-37     	 =          	 es OPERADOR

Linea 60 Columnas: 38-39     	 2          	 es ENTERO (value = 2)

Linea 61 Columnas: 19-22     	 AND          	 es PALABRA_RESERVADA

